Nâng cấp bắt đầu: 18:07:53_28-12-2022
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/common.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/image.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/templates/templatedefinition.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/video/dialogs/video.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/plugins/video/images/placeholder.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/icons.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/skins/moono/icons_hidpi.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/DOMPurify/purify.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/admin.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/chart/chart.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/global.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/images/ui-icons_444444_256x240.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/images/ui-icons_555555_256x240.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777620_256x240.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777777_256x240.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/images/ui-icons_cc0000_256x240.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/images/ui-icons_ffffff_256x240.png | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/jquery-ui.structure.min.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/jquery-ui/jquery-ui.theme.min.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/plyr/index.html | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/plyr/plyr.css | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/plyr/plyr.polyfilled.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/plyr/plyr.svg | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/site.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/js/upload.js | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file composer.json | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file data/certs/cacert.pem | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/action_mysql.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/api/ClearCache.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/constants.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/admin_access.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/admin_functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/admin_login.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/admin_login_zalo.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/admin_logout.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/is_admin.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/is_user.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/stat.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/theme_functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/core/user_functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/footer.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/ini/mime.ini | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/ini.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/en/admin_zalo.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/en/global.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/en/install.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/fr/admin_zalo.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/fr/global.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/fr/install.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/admin_global.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/admin_zalo.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/global.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/language/vi/install.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/mainfile.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/plugin/qrcode.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/utf8/iconv_string_handler.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/utf8/mb_string_handler.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/utf8/php_string_handler.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file includes/xtemplate.class.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file index.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/action_mysql.php | SUCCESS
